epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.38441,1.62563,4.09988,1.75581,0.04073,0.15992,0.0348,0.01688,1.56445,3.96938,1.79684,0.000162281,0.000162281,0.000162281
2,6.12141,1.59276,3.68363,1.66319,0.02001,0.70855,0.0779,0.03374,1.71543,3.35574,1.70682,0.000325691,0.000325691,0.000325691
3,8.42523,1.55348,3.36019,1.637,0.6778,0.11808,0.09168,0.03616,1.81247,2.92939,1.79381,0.000485801,0.000485801,0.000485801
4,11.0775,1.58042,3.16187,1.68324,0.71324,0.14376,0.14112,0.06316,1.79335,3.03733,1.82654,0.00048515,0.00048515,0.00048515
5,13.4338,1.59328,2.94385,1.64592,0.65591,0.13636,0.14765,0.07058,1.85706,2.67675,1.90079,0.0004802,0.0004802,0.0004802
6,15.701,1.62736,2.85085,1.68321,0.27923,0.20137,0.16336,0.07117,1.86232,2.67604,1.91702,0.00047525,0.00047525,0.00047525
7,17.979,1.59346,2.76377,1.66683,0.39643,0.22641,0.21959,0.09848,1.78416,2.32367,1.80576,0.0004703,0.0004703,0.0004703
8,20.2586,1.53248,2.54882,1.65429,0.542,0.25643,0.24873,0.11952,1.77614,2.29515,1.84797,0.00046535,0.00046535,0.00046535
9,22.4038,1.50729,2.41218,1.60267,0.6511,0.26084,0.24006,0.12025,1.72334,2.33566,1.84071,0.0004604,0.0004604,0.0004604
10,24.6809,1.51796,2.3752,1.61339,0.48827,0.28234,0.27173,0.13293,1.74886,2.24901,1.87035,0.00045545,0.00045545,0.00045545
11,26.9129,1.54923,2.31971,1.63346,0.63269,0.28975,0.2957,0.13543,1.80773,2.19684,1.84247,0.0004505,0.0004505,0.0004505
12,29.4333,1.52958,2.21174,1.58156,0.49217,0.29086,0.32933,0.15997,1.76911,2.22536,1.83186,0.00044555,0.00044555,0.00044555
13,31.8188,1.4931,2.16441,1.56569,0.48249,0.31487,0.32218,0.14482,1.79878,2.25414,1.87292,0.0004406,0.0004406,0.0004406
14,34.0822,1.48022,2.13537,1.59262,0.55213,0.32768,0.36489,0.17999,1.69829,2.03708,1.7951,0.00043565,0.00043565,0.00043565
15,36.3412,1.43548,2.08183,1.53643,0.73761,0.35311,0.41403,0.19776,1.75018,1.95864,1.85933,0.0004307,0.0004307,0.0004307
16,38.6021,1.44471,1.99702,1.565,0.7415,0.35185,0.40663,0.19148,1.77782,2.02404,1.87263,0.00042575,0.00042575,0.00042575
17,40.8035,1.3947,1.95242,1.51905,0.65474,0.35174,0.42904,0.20541,1.73528,1.87182,1.81791,0.0004208,0.0004208,0.0004208
18,43.036,1.40373,1.83643,1.52135,0.5597,0.43435,0.44976,0.19702,1.77836,1.98944,1.92022,0.00041585,0.00041585,0.00041585
19,45.2709,1.36855,1.82999,1.49041,0.59671,0.36869,0.42596,0.22068,1.69168,1.85455,1.76688,0.0004109,0.0004109,0.0004109
20,47.8675,1.40907,1.83945,1.5034,0.58307,0.41066,0.43979,0.22099,1.70431,1.82551,1.77026,0.00040595,0.00040595,0.00040595
